scenario,structure,n,time_per_op_ns,stddev_ns
SC_search_miss,hash_double,25000,0,0
SC_search_miss,rbt,25000,9.98,69.86
SC_search_miss,t23,25000,19.92,97.5885
SC_search_miss,hash_chain,50000,20,97.9798
SC_search_miss,hash_double,50000,0,0
SC_search_miss,rbt,50000,10.06,70.42
SC_search_miss,t23,50000,18.94,93.0579
SC_search_miss,hash_chain,100000,20.02,98.0776
SC_search_miss,hash_double,100000,40.66,138.046
SC_search_miss,rbt,100000,30.04,118.902
SC_search_miss,t23,100000,39.8,134.973
SC_search_miss,hash_chain,250000,0,0
SC_search_miss,hash_double,250000,18.68,91.7506
SC_search_miss,rbt,250000,10.02,70.14
SC_search_miss,t23,250000,40,135.647
SC_search_miss,hash_chain,500000,20,97.9796
SC_search_miss,hash_double,500000,20,97.9796
SC_search_miss,rbt,500000,0,0
SC_search_miss,t23,500000,41.92,142.634
SC_search_miss,hash_chain,750000,20,97.9796
SC_search_miss,hash_double,750000,20,97.9796
SC_search_miss,rbt,750000,0,0
SC_search_miss,t23,750000,30.1,119.14
SC_search_miss,hash_chain,1000000,10,70
SC_search_miss,hash_double,1000000,41.16,139.745
SC_search_miss,rbt,1000000,30,118.743
SC_search_miss,t23,1000000,30.1,119.141
SC_search_miss,hash_chain,2500000,50.02,150.06
SC_search_miss,hash_double,2500000,31.1,123.22
SC_search_miss,rbt,2500000,41.92,142.466
SC_search_miss,t23,2500000,22.28,109.152
SC_search_miss,hash_chain,5000000,40.06,135.85
SC_search_miss,hash_double,5000000,0,0
SC_search_miss,rbt,5000000,10.16,71.12
SC_search_miss,t23,5000000,40.58,138.319
SC_delete,hash_chain,10000,59.46,161.548
SC_delete,hash_double,10000,20.02,98.0776
SC_delete,rbt,10000,9.98,69.86
SC_delete,t23,10000,70.02,173.543
SC_delete,hash_chain,25000,52.4,157.481
SC_delete,hash_double,25000,20,97.9796
SC_delete,rbt,25000,50.18,150.554
SC_delete,t23,25000,53.98,147.359
SC_delete,hash_chain,50000,30,118.743
SC_delete,hash_double,50000,0,0
SC_delete,rbt,50000,30.04,118.902
SC_delete,t23,50000,99.86,200.142
SC_delete,hash_chain,100000,20.36,99.744
SC_delete,hash_double,100000,18.74,92.0093
SC_delete,rbt,100000,30.04,118.903
SC_delete,t23,100000,88.92,189.904
SC_delete,hash_chain,250000,59.46,161.08
SC_delete,hash_double,250000,59.86,162.105
SC_delete,rbt,250000,9.98,69.86
SC_delete,t23,250000,39.98,135.58
SC_delete,hash_chain,500000,30.02,118.823
SC_delete,hash_double,500000,30.04,118.902
SC_delete,rbt,500000,40.22,136.397
SC_delete,t23,500000,30,118.743
SC_delete,hash_chain,750000,48.62,146.098
SC_delete,hash_double,750000,31.36,124.397
SC_delete,rbt,750000,60.02,162.535
SC_delete,t23,750000,59.56,161.317
SC_delete,hash_chain,1000000,8.42,58.94
SC_delete,hash_double,1000000,30.02,118.823
SC_delete,rbt,1000000,69.8,173
SC_delete,t23,1000000,101.66,205.237
SC_delete,hash_chain,2500000,9.76,68.32
SC_delete,hash_double,2500000,9.78,68.46
SC_delete,rbt,2500000,49.94,149.82
SC_delete,t23,2500000,78.7,180.699
SC_delete,hash_chain,5000000,10,70
SC_delete,hash_double,5000000,29.72,117.646
SC_delete,rbt,5000000,50.2,150.607
SC_delete,t23,5000000,99.84,199.682
